Id,ChannelName,GamesDay,Date,Title,Tx Type,Tx Start Time,Tx End Time,Tx Duration,Tx Run Up,Tx Run Out,Coverage Start Time,Coverage End Time,Coverage Duration,As Run Start Time,As Run End Time,Commentary Audio,OVP,VideoFeed,Source,Original Source,Rights,Es Code,Es Date,Es Venue,Fields of Play,Es Type,Es Start Time,Es End Time,Es Duration,Es Phases,Es is Finals
001690,DX+28,-20,17/01/2026,XCU60 CURLING - Global Integration Test,Live,09:05:00,10:32:00,01:27:00,00:45:00,00:17:00,09:50:00,10:15:00,00:25:00,09:08:00,,N/A,No,C06-MCF.2,C06-MCF.2,,Public DX and not CATV,XCU60,17/01/2026,Cortina Curling Olympic Stadium,Sheet B,Curling,09:50:00,10:15:00,00:25:00,CURLING - Global Integration Test,YES
001701,DX+28,-20,17/01/2026,XCU61 CURLING - Global Integration Test,Live,16:05:00,17:32:00,01:27:00,00:45:00,00:17:00,16:50:00,17:15:00,00:25:00,16:05:00,17:25:00,N/A,No,C06-MCF.1,C06-MCF.1,,Public DX and not CATV,XCU61,17/01/2026,Cortina Curling Olympic Stadium,Sheet A,Curling,16:50:00,17:15:00,00:25:00,CURLING - Global Integration Test,YES
001686,DX01,-20,17/01/2026,XIH50 ICE HOCKEY - Global Integration Test,Live,09:15:00,09:37:00,00:22:00,00:10:00,00:02:00,09:25:00,09:35:00,00:10:00,,,CP,No,C02-MH1,C02-MH1,,Public DX and not CATV,XIH50,17/01/2026,Milano Santagiulia Ice Hockey Arena,Milano Santagiulia IHO Arena,Ice Hockey,09:25:00,09:35:00,00:10:00,ICE HOCKEY - Global Integration Test,NO
001687,DX01,-20,17/01/2026,XST50 SHORT TRACK - Global Integration Test,Live,10:40:00,10:57:00,00:17:00,00:05:00,00:02:00,10:45:00,10:55:00,00:10:00,,,CP,No,C04-MSK,C04-MSK,,Public DX and not CATV,XST50,17/01/2026,Milano Ice Skating Arena,Milano Ice Skating Arena,Short Track Speed Skating,10:45:00,10:55:00,00:10:00,SHORT TRACK - Global Integration Test,YES
001697,DX01,-20,17/01/2026,XIH51 ICE HOCKEY - Global Integration Test,Live,16:15:00,16:37:00,00:22:00,00:10:00,00:02:00,16:25:00,16:35:00,00:10:00,16:15:00,16:37:00,CP,No,C02-MH1,C02-MH1,,Public DX and not CATV,XIH51,17/01/2026,Milano Santagiulia Ice Hockey Arena,Milano Santagiulia IHO Arena,Ice Hockey,16:25:00,16:35:00,00:10:00,ICE HOCKEY - Global Integration Test,NO
001698,DX01,-20,17/01/2026,XST51 SHORT TRACK - Global Integration Test,Live,17:40:00,17:57:00,00:17:00,00:05:00,00:02:00,17:45:00,17:55:00,00:10:00,17:42:00,18:01:00,CP,No,C04-MSK,C04-MSK,,Public DX and not CATV,XST51,17/01/2026,Milano Ice Skating Arena,Milano Ice Skating Arena,Short Track Speed Skating,17:45:00,17:55:00,00:10:00,SHORT TRACK - Global Integration Test,YES
001688,DX02,-20,17/01/2026,XCU60 CURLING - Global Integration Test,Live,09:45:00,10:17:00,00:32:00,00:05:00,00:02:00,09:50:00,10:15:00,00:25:00,,,CP,No,C06-CCU.2,C06-CCU.2,,Public DX and not CATV,XCU60,17/01/2026,Cortina Curling Olympic Stadium,Sheet B,Curling,09:50:00,10:15:00,00:25:00,CURLING - Global Integration Test,YES
001689,DX02,-20,17/01/2026,XBO50 BOBSLEIGH - Global Integration Test,Live,10:25:00,10:37:00,00:12:00,00:05:00,00:02:00,10:30:00,10:35:00,00:05:00,,,OT,No,C06-CSC,C06-CSC,,Public DX and not CATV,XBO50,17/01/2026,Cortina Sliding Centre,Cortina Sliding Centre,Bobsleigh,10:30:00,10:35:00,00:05:00,BOBSLEIGH - Global Integration Test,NO
001699,DX02,-20,17/01/2026,XCU61 CURLING - Global Integration Test,Live,16:45:00,17:17:00,00:32:00,00:05:00,00:02:00,16:50:00,17:15:00,00:25:00,16:45:00,17:09:00,CP,No,C06-CCU.1,C06-CCU.1,,Public DX and not CATV,XCU61,17/01/2026,Cortina Curling Olympic Stadium,Sheet A,Curling,16:50:00,17:15:00,00:25:00,CURLING - Global Integration Test,YES
001700,DX02,-20,17/01/2026,XBO51 BOBSLEIGH - Global Integration Test,Live,17:25:00,17:37:00,00:12:00,00:05:00,00:02:00,17:30:00,17:35:00,00:05:00,17:24:00,17:46:00,OT,No,C06-CSC,C06-CSC,,Public DX and not CATV,XBO51,17/01/2026,Cortina Sliding Centre,Cortina Sliding Centre,Bobsleigh,17:30:00,17:35:00,00:05:00,BOBSLEIGH - Global Integration Test,NO
001692,MX03,-20,17/01/2026,XCU60 CURLING - Global Integration Test,Live,09:45:00,10:17:00,00:32:00,00:05:00,00:02:00,09:50:00,10:15:00,00:25:00,,,Embedded,No,C06-CCU.2,DX02,,Public DX and not CATV,XCU60,17/01/2026,Cortina Curling Olympic Stadium,Sheet B,Curling,09:50:00,10:15:00,00:25:00,CURLING - Global Integration Test,YES
001694,MX03,-20,17/01/2026,XBO50 BOBSLEIGH - Global Integration Test,Live,10:25:00,10:37:00,00:12:00,00:05:00,00:02:00,10:30:00,10:35:00,00:05:00,,,Embedded,No,C06-CSC,DX02,,Public DX and not CATV,XBO50,17/01/2026,Cortina Sliding Centre,Cortina Sliding Centre,Bobsleigh,10:30:00,10:35:00,00:05:00,BOBSLEIGH - Global Integration Test,NO
001695,MX03,-20,17/01/2026,XCU60 CURLING - Global Integration Test,Replay,10:45:00,11:15:00,00:30:00,00:05:00,00:02:00,09:50:00,10:15:00,00:25:00,,,Embedded,No,C06-CCU.2,EVS,DX+28,Public DX and not CATV,XCU60,17/01/2026,Cortina Curling Olympic Stadium,Sheet B,Curling,09:50:00,10:15:00,00:25:00,CURLING - Global Integration Test,YES
